longitude,latitude,,,,,,
-71.0536139,42.3636667,,"[-71.0536139, 42.3636667],",,,,"[-71.0536139, 42.3636667],"
-71.0539031,42.3633967,,"[-71.0539031, 42.3633967],",,,,"[-71.0539031, 42.3633967],"
-71.0539031,42.3633967,,"[-71.0539031, 42.3633967],",,,,"[-71.0539031, 42.3633967],"
-71.0539031,42.3633967,,"[-71.0539031, 42.3633967],",,,,"[-71.0539031, 42.3633967],"
-71.0540445,42.3651811,,"[-71.0540445, 42.3651811],",,,,"[-71.0540445, 42.3651811],"
-71.0541796,42.3664608,,"[-71.0541796, 42.3664608],",,,,"[-71.0541796, 42.3664608],"
-71.0541796,42.3664608,,"[-71.0541796, 42.3664608],",,,,"[-71.0541796, 42.3664608],"
-71.0594472,42.3670924,,"[-71.0594472, 42.3670924],",,,,"[-71.0594472, 42.3670924],"
-71.0619598,42.3699754,,"[-71.0619598, 42.3699754],",,,,"[-71.0619598, 42.3699754],"
-71.0619598,42.3699754,,"[-71.0619598, 42.3699754],",,,,"[-71.0619598, 42.3699754],"
-71.0619598,42.3699754,,"[-71.0619598, 42.3699754],",,,,"[-71.0619598, 42.3699754],"
-71.0619598,42.3699754,,"[-71.0619598, 42.3699754],",,,,"[-71.0619598, 42.3699754],"
-71.0618209,42.3725075,,"[-71.0618209, 42.3725075],",,,,"[-71.0618209, 42.3725075],"
-71.0689588,42.3747254,,"[-71.0689588, 42.3747254],",,,,"[-71.0689588, 42.3747254],"
-71.0745145,42.380066,,"[-71.0745145, 42.380066],",,,,"[-71.0745145, 42.380066],"
-71.075867,42.3837535,,"[-71.075867, 42.3837535],",,,,"[-71.075867, 42.3837535],"
-71.0889394,42.3991078,,"[-71.0889394, 42.3991078],",,,,"[-71.0889394, 42.3991078],"
-71.0945278,42.4063583,,"[-71.0945278, 42.4063583],",,,,"[-71.0945278, 42.4063583],"
-71.1086294,42.4116028,,"[-71.1086294, 42.4116028],",,,,"[-71.1086294, 42.4116028],"
-71.1263348,42.4144948,,"[-71.1263348, 42.4144948],",,,,"[-71.1263348, 42.4144948],"
-71.1263348,42.4144948,,"[-71.1263348, 42.4144948],",,,,"[-71.1263348, 42.4144948],"
-71.1263348,42.4144948,,"[-71.1263348, 42.4144948],",,,,"[-71.1263348, 42.4144948],"
-71.1258934,42.414872,,"[-71.1258934, 42.414872],",,,,"[-71.1258934, 42.414872],"
-71.147024,42.4172059,,"[-71.147024, 42.4172059],",,,,"[-71.147024, 42.4172059],"
-71.1609452,42.4203176,,"[-71.1609452, 42.4203176],",,,,"[-71.1609452, 42.4203176],"
-71.1769182,42.4257628,,"[-71.1769182, 42.4257628],",,,,"[-71.1769182, 42.4257628],"
-71.1769182,42.4257628,,"[-71.1769182, 42.4257628],",,,,"[-71.1769182, 42.4257628],"
-71.1958861,42.4281782,,"[-71.1958861, 42.4281782],",,,,"[-71.1958861, 42.4281782],"
-71.1958861,42.4281782,,"[-71.1958861, 42.4281782],",,,,"[-71.1958861, 42.4281782],"
-71.195886,42.4281782,,"[-71.195886, 42.4281782],",,,,"[-71.195886, 42.4281782],"
-71.2145213,42.4389848,,"[-71.2145213, 42.4389848],",,,,"[-71.2145213, 42.4389848],"
-71.2145213,42.4389848,,"[-71.2145213, 42.4389848],",,,,"[-71.2145213, 42.4389848],"
-71.2255071,42.451492,,"[-71.2255071, 42.451492],",,,,"[-71.2255071, 42.451492],"
